corridor,tmc_code,selection_position,period,road_order,gmns_link_count,gmns_link_ids,taplite_period_volume,taplite_period_doc,taplite_period_p_hours,cube_period_volume,cube_period_doc,cube_period_p_hours,model_speed_min_mph,model_speed_max_mph,model_speed_unique_value_count,cube_speed_min_mph,cube_speed_max_mph,cube_speed_unique_value_count
I66_WB,110P04181,behavior_diverse_3_of_5,AM,40.000000,2.000000,32037;32038,8631.991633,0.364233,0.000000,11397.236000,0.481380,1.580395,64.247333,66.308000,12,30.808276,66.255513,12
I66_WB,110P04181,behavior_diverse_3_of_5,MD,40.000000,2.000000,32037;32038,18895.912600,0.398733,0.000000,25711.357747,0.543010,3.671769,50.791000,64.226000,24,25.281024,64.232905,24
I66_WB,110P04181,behavior_diverse_3_of_5,PM,40.000000,2.000000,32037;32038,14249.066800,1.352233,6.730864,24342.310225,2.310694,12.096281,14.890579,59.346278,16,10.515542,59.324025,16
I66_WB,110+04183,behavior_diverse_4_of_5,AM,43.000000,3.000000,31404;31406;31411,2630.998000,0.219200,0.000000,1013.587040,0.084466,0.292283,63.579333,65.828333,12,62.498900,72.100616,12
I66_WB,110+04183,behavior_diverse_4_of_5,MD,43.000000,3.000000,31404;31406;31411,7089.698400,0.295400,0.000000,2254.761470,0.093948,0.577849,20.588667,63.528333,24,20.761308,72.733407,24
I66_WB,110+04183,behavior_diverse_4_of_5,PM,43.000000,3.000000,31404;31406;31411,2932.597500,0.733100,3.272961,7916.662110,1.979166,9.217930,20.646333,35.723333,16,16.908049,34.669926,16
I66_WB,110P04187,corridor_end,AM,52.000000,1.000000,40894,452.561300,0.037700,0.000000,218.469670,0.018206,0.062999,66.825000,67.999667,12,66.938098,74.361546,12
I66_WB,110P04187,corridor_end,MD,52.000000,1.000000,40894,1241.903000,0.051700,0.000000,618.043270,0.025752,0.150195,68.004667,68.288667,24,68.030424,74.452238,24
I66_WB,110P04187,corridor_end,PM,52.000000,1.000000,40894,2282.755500,0.142700,0.000000,1304.067630,0.081504,0.331300,68.290000,68.825667,16,63.340070,73.124636,16
I95I495_EB,110P15983,all_1_of_4,AM,1.000000,2.000000,32772;32769,4218.871900,0.370100,0.000000,5700.359860,0.500032,1.644516,58.948000,62.733000,12,30.302804,62.737178,12
I95I495_EB,110P15983,all_1_of_4,MD,1.000000,2.000000,32772;32769,8022.141000,0.351800,0.000000,9634.700200,0.422575,2.826117,18.426667,58.893667,24,18.561684,59.126175,24
I95I495_EB,110P15983,all_1_of_4,PM,1.000000,2.000000,32772;32769,3070.593900,0.808100,3.832207,9652.602540,2.540159,13.416132,18.399333,25.183000,16,9.404117,25.156009,16
I95I495_EB,110+15984,all_2_of_4,AM,2.000000,4.000000,32767;32774;28324;28321,4619.172224,0.405191,0.000000,6199.011021,0.543773,1.812919,60.752333,65.434667,12,27.254545,65.395741,12
