corridor,period,n_selected_links,n_ready_links,P_A_mean,P_B_mean,P_C_mean,DC_obs_mean,DC_assignment_mean,duration_absolute_error_mean,projection_available
I495_SB,MD,1,1,,,0.0,,0.7886051312500001,,True
I495_SB,PM,1,1,,,0.0,,0.8215186906249999,,True
I66_EB,AM,38,38,3.175,3.173480099619252,0.29581026315789477,0.9369501803946388,0.4438078408652661,2.0509209999999998,True
I66_EB,MD,38,38,,,0.0,,0.3914500428339489,,True
I66_EB,PM,38,38,4.25,4.368232427748667,0.2116350789473684,0.9422366361523168,0.40162322333073636,1.5692889999999997,True
I66_WB,AM,37,37,,,0.0,,0.2951329237652126,,True
I66_WB,MD,37,37,,,0.0,,0.34069028084242126,,True
I66_WB,PM,37,37,5.35,5.424597715472697,0.9471814324324324,1.152534708145719,0.4216898168459579,1.8454286999999998,True
I95I495_EB,AM,4,4,,,0.0,,0.44044461403508767,,True
I95I495_EB,MD,4,4,,,0.0,,0.3277121600877193,,True
I95I495_EB,PM,4,4,6.875,6.906417683400051,3.8239514999999997,1.3003653655185428,0.5133734440789474,3.0510485000000003,True
I95I495_WB,AM,3,3,,,0.0,,0.628186216374269,,True
I95I495_WB,MD,3,3,,,0.0,,0.6131011159844054,,True
I95I495_WB,PM,3,3,,,0.0,,0.7031840833333334,,True
I95_NB,AM,25,25,3.6666666666666665,3.677833043315655,0.96071888,1.0918254307064355,0.920210370467836,0.9980031111111111,True
I95_NB,MD,25,25,6.45,6.375268628568665,0.267749,0.9357981074760049,0.7742491734181287,5.111255,True
I95_NB,PM,25,25,3.40625,3.223737073983276,0.8777204000000001,0.6859511971125818,0.9014502565153509,0.6633737500000001,True
I95_SB,AM,24,24,,,0.0,,0.6927994497258773,,True
I95_SB,MD,24,24,,,0.0,,0.6419613836379141,,True
I95_SB,PM,24,24,5.0,5.073652486029706,1.7327086250000001,0.963863656599493,0.848208211654788,1.8052440769230766,True
SHELLHORNRD_EB,AM,2,2,,,0.0,,0.0031286953892668175,,True
SHELLHORNRD_EB,MD,2,2,,,0.0,,0.004413826152683296,,True
SHELLHORNRD_EB,PM,2,2,,,0.0,,0.004504992063492063,,True
SHELLHORNRD_WB,AM,3,3,,,0.0,,0.11379873236331568,,True
SHELLHORNRD_WB,MD,3,3,,,0.0,,0.1401928588750315,,True
